上榜日,股票,代码,买日,买价,卖日,卖价,盈亏%,净买万,换手%,20日涨,RSI,连板
2025-07-11,抚顺特钢,600399,2025-07-14,5.71,2025-07-15,5.52,-3.33,24680.0,9.2,16,82,1
2025-09-18,红豆股份,600400,2025-09-19,3.23,2025-09-22,3.63,12.38,9935.0,5.9,18,76,1
2023-04-12,小商品城,600415,2023-04-13,6.35,2023-04-14,6.99,10.08,7043.0,6.0,37,80,1
2024-02-02,金证股份,600446,2024-02-05,12.23,2024-02-06,10.47,-14.39,5350.0,6.8,10,62,1
2025-12-29,杭萧钢构,600477,2025-12-30,2.83,2025-12-31,2.82,-0.35,7200.0,6.2,5,68,1
2025-07-02,双良节能,600481,2025-07-03,5.4,2025-07-04,5.45,0.93,7715.0,8.5,16,71,1
2024-10-21,ST龙元,600491,2024-10-22,3.64,2024-10-23,3.91,7.42,4703.0,8.8,46,75,1
2025-08-19,华丽家族,600503,2025-08-20,3.38,2025-08-21,3.6,6.51,5410.0,6.9,21,78,1
2025-07-24,海南机场,600515,2025-07-25,4.4,2025-07-28,4.15,-5.68,9545.0,3.2,19,75,1
2023-03-20,中天科技,600522,2023-03-21,16.3,2023-03-22,16.36,0.37,52506.0,8.4,9,58,1
2025-09-10,卓郎智能,600545,2025-09-11,3.05,2025-09-12,3.15,3.28,4697.0,4.3,18,64,1
2025-05-26,保变电气,600550,2025-05-27,9.59,2025-05-28,9.69,1.04,13078.0,7.4,22,67,1
2023-08-01,精达股份,600577,2023-08-02,4.94,2023-08-03,4.36,-11.74,3641.0,9.3,11,78,1
2023-02-22,云赛智联,600602,2023-02-23,10.81,2023-02-24,10.78,-0.28,13562.0,6.3,23,63,1
2024-04-15,广汇物流,600603,2024-04-16,8.07,2024-04-17,7.73,-4.21,4119.0,3.8,11,68,1
2023-08-22,浙数文化,600633,2023-08-23,15.39,2023-08-24,16.28,5.78,14608.0,6.6,9,64,1
2025-05-26,锦江在线,600650,2025-05-27,15.58,2025-05-28,16.0,2.7,6775.0,8.9,16,69,1
2025-07-25,飞乐音响,600651,2025-07-28,4.98,2025-07-29,4.89,-1.81,5591.0,4.0,14,80,1
2025-09-02,申华控股,600653,2025-09-03,2.19,2025-09-04,2.14,-2.28,3901.0,7.0,14,72,1
2025-08-01,天目药业,600671,2025-08-04,15.44,2025-08-05,15.49,0.32,3799.0,9.9,14,70,1
2025-01-07,东阳光,600673,2025-01-08,12.65,2025-01-09,12.75,0.79,5225.0,4.6,44,80,1
