代码,名称,上榜日,涨跌幅,换手率,净买额,净买占成交,龙虎额占市场,流通市值,买占比,收益,盈利
000958,电投产融,2025-03-26,10.087,5.4391,-2143.204482,-1.181232892145057,3181.6994665874927,34076896806.6,0.4814370762457338,0.8000000000000007,True
000997,新大陆,2025-05-12,10.0,4.9498,5367.05949,3.5201120114904416,3240.90437274604,32177778034.05,0.5543075574998813,-4.160100850929716,False
000997,新大陆,2025-03-12,10.0041,5.166,-2868.115343,-2.0550533538572555,2917.969040334361,27651334616.82,0.4647862378686894,4.84917907598319,True
001213,中铁特货,2025-07-23,10.0457,2.7905,3748.723444,6.448404136951096,3585.7252005964165,21422222220.08,0.5899177122647119,-4.23728813559322,False
001309,德明利,2026-06-04,10.0008,11.6218,10307.574848,0.8123221321009526,3054.091134378532,112282262005.5,0.513298917687115,-13.327740065593774,False
001309,德明利,2026-05-13,10.0,10.4595,141349.349203,13.047600962436018,3414.139403253087,109669700316.0,0.691081842616091,3.2918454935622288,True
001309,德明利,2026-05-06,9.9998,4.8864,56698.670746,12.547126798284896,2764.1751652017733,93132129001.8,0.726959690475495,-0.625207296849084,False
001309,德明利,2026-04-13,7.6581,13.4333,55905.475816,2.034388629518733,2742.9421075834925,77460153461.66,0.5370840606495886,3.2997382468723524,True
001309,德明利,2026-04-10,10.0005,14.4371,49332.969922,4.841262027443408,3115.9868346153603,71950152722.16,0.5776842503578968,7.784071976008011,True
001309,德明利,2026-03-16,10.0016,16.5509,-14404.329397,-1.6278567429721904,5156.26380310557,56637981324.04,0.4842147647489279,4.056406685236769,True
001309,德明利,2026-03-16,10.0016,16.5509,59922.34207100001,3.797861562412018,4134.877732193135,56637981324.04,0.5459247142042776,4.056406685236769,True
001309,德明利,2026-03-04,10.0,12.1618,33532.739778,6.873878398004536,2628.3701520042064,40471558716.38,0.6307631345752996,-0.3622482763993351,False
001309,德明利,2025-12-26,10.0014,16.3559,34709.477151,5.609902347802529,2169.3762964584057,38449348226.0,0.6292975856000852,2.1259677756853,True
001309,德明利,2025-12-19,-7.0067,10.29,-8309.073961,-2.567976067501889,2852.431842077586,30767522377.5,0.4549861975732348,1.6811860003056678,True
001309,德明利,2025-12-08,10.0,10.6571,5727.63191500001,1.5419569605360386,3441.209106397087,35782025240.28,0.522404290365116,-0.7945414553126584,False
001309,德明利,2025-11-10,5.8912,12.5552,27260.568133,1.8139842454760424,3397.4010433171943,45486061296.42,0.526696645794058,-5.472446423601451,False
001309,德明利,2025-11-06,10.0013,8.5888,56844.388082000005,16.796087158079782,3900.573535184544,39635461061.28,0.7153027882511787,9.613940806891376,True
001309,德明利,2025-10-27,9.9991,13.8467,-1507.983214,-0.2978593131171007,3162.729476657897,38267449072.72,0.4952911035339031,2.947471684651748,True
001309,德明利,2025-10-27,9.9991,13.8467,-78698.649388,-5.687612081206771,3383.0482295616343,38267449072.72,0.4159395359559542,2.947471684651748,True
001309,德明利,2025-10-24,10.0,14.5608,806.815449000001,0.16556063252179,3834.0906475858383,34788881659.84,0.502159059966749,-2.2193154567255347,False
001309,德明利,2025-10-16,10.0,11.9081,332.516513999999,0.0905331983621987,3630.850076961213,31507577405.92,0.5012467217930129,-2.676653920695604,False
001309,德明利,2025-10-14,-8.3874,16.5577,2588.254847,0.522918686271104,4483.27897312249,28062689068.96,0.5058318776213352,3.474099099099104,True
001309,德明利,2025-09-23,9.9994,19.0375,26034.449664,5.165092922400532,4648.651422887577,27260818348.52,0.555554745371639,3.3188861841714656,True
001309,德明利,2025-09-22,9.9993,5.8668,-12881.89922,-2.99489073270031,3256.493123976295,24782707385.06,0.4540166274166203,3.4645862767983315,True
001309,德明利,2025-09-19,10.0008,12.8279,-17484.039230000002,-6.1034451821957365,3883.919092908012,22529879236.46,0.4214267208431227,8.642552055525886,True
001309,德明利,2025-09-15,7.4057,22.3084,3367.65659699998,0.4566871817336841,3250.226267256115,18839075673.86,0.5070254675241307,4.588303995995657,True
001309,德明利,2025-09-12,10.0,10.3474,16517.977252,9.15084105682676,4029.6820100790183,17540104549.88,0.6135429673351238,2.208390177353348,True
001309,德明利,2025-03-03,-10.0,13.968,-2635.787722,-1.4687657907302438,3656.72356074312,12422424687.75,0.4799169151518831,4.703247480403117,True
001309,德明利,2025-02-24,10.0022,13.7906,-2894.7777730000003,-1.63754160462703,3131.2251900684887,12895659913.95,0.473851423880005,-0.7828909681115048,False
002008,大族激光,2026-06-16,10.0,6.1229,36045.917047,4.674611468383324,3821.503773263607,130708094928.84,0.5611619371029845,-2.734122712594189,False
002008,大族激光,2026-05-13,10.003,4.5874,89569.306298,13.972916946293894,4588.578243433691,141720027095.66,0.6522575861737708,-2.460894037567896,False
002008,大族激光,2026-05-11,10.0033,7.0487,-32866.594506,-3.7621468813893375,4582.015655546848,128459785581.14,0.4589465950772669,3.074397433027398,True
002008,大族激光,2026-05-11,10.0033,7.0487,-15489.196959,-0.7430980352538302,4099.661317431178,128459785581.14,0.490937080191304,3.074397433027398,True
002008,大族激光,2026-05-07,10.001,4.3263,34095.592836,7.5273413531784445,5026.630938122846,107545725010.62,0.5748746172718766,7.887886150642132,True
002008,大族激光,2026-04-23,10.0021,6.8065,99188.945098,15.20671310428418,6391.904122583139,99116956775.2,0.6189529192917457,-2.522714092402856,False
002008,大族激光,2026-04-16,10.0013,5.255,9132.632386,2.143225419330261,4146.785359699402,82919562197.94,0.5258420105385635,0.2152242863615816,True
002008,大族激光,2026-02-26,10.0032,5.498,94.5526159999967,0.0263167051018065,4919.5944814099785,66703033073.04,0.5002674682354536,1.8385521401895977,True
002008,大族激光,2026-02-26,10.0032,5.498,-4480.38253499999,-0.4142323794743884,4382.813839611112,66703033073.04,0.4952743557605546,1.8385521401895977,True
002008,大族激光,2025-08-11,10.0,9.9319,99682.883192,11.270020545793974,2448.901175875398,32413809831.48,0.7301036206935817,-0.8417997097242558,False
002008,大族激光,2025-08-11,10.0,9.9319,45154.762809,14.348844811684533,3023.5458712052737,32413809831.48,0.7372850524335631,-0.8417997097242558,False
002028,思源电气,2026-01-19,10.0,3.8898,25909.655321,3.4589449269924675,4086.180397727533,124798183900.39,0.5423249170413047,-4.771548530501358,False
002028,思源电气,2026-01-19,10.0,3.8898,9231.14845,1.980574981017424,3940.7631701531022,124798183900.39,0.5251293327650095,-4.771548530501358,False
002028,思源电气,2026-01-16,10.0,2.5026,7776.403393999989,2.7480582530083777,5783.287159962589,113452894454.9,0.5237586183860371,6.563848826192231,True
002028,思源电气,2025-07-14,10.0014,4.2344,-10406.96573,-5.295238328489377,6226.05781441045,46716566622.39,0.4574751914748258,7.4141519250780386,True
002050,三花智控,2025-10-15,10.01,7.6365,53960.978967,4.504422002344567,2900.247142458086,162773413687.94,0.5776558303670436,3.984729181579572,True
002050,三花智控,2025-09-18,8.7112,13.2035,11649.2230179999,0.2547802510090213,2214.0499468245707,167820936928.15,0.5057537150725627,-3.5326714384668723,False
002050,三花智控,2025-09-16,10.0112,6.4603,33447.075194,3.732748837672508,2416.216792043941,144536012199.59,0.5772436655925,4.938875305623469,True
002050,三花智控,2025-09-08,10.0,3.0144,11481.002082,3.103314732549513,3563.043522839214,124419605709.41,0.5435486503695109,-1.7312206572769884,False
002050,三花智控,2025-01-10,6.4593,9.2384,-19219.830046,-1.4493355911548256,2335.882358872841,98001015881.1,0.4689766998400084,-3.3097805875790254,False
002050,三花智控,2025-01-09,10.0,3.5913,9100.487482,2.869052812817178,2992.7764624441006,92054886827.64,0.547932962064165,5.9913283405597095,True
002056,横店东磁,2026-06-04,6.9818,8.0771,-6791.228640000009,-0.7661340065473712,3122.210280311305,47808429936.78,0.4877309031461042,-4.901269393511987,False
002056,横店东磁,2026-05-27,4.5629,6.0305,37274.491599,4.9915576749412125,2572.380900152264,39845775052.68,0.5970221337486559,9.569577935645636,True
002056,横店东磁,2026-03-13,10.0043,5.3047,20463.151047,9.30320134011301,3015.137788928463,41990816776.56,0.6542748954007046,-6.146380913869787,False
002056,横店东磁,2025-03-12,9.9709,4.939,12776.824068,10.577264670549592,2765.560804364892,24554626515.99,0.6912318227437898,3.1654676258992875,True
002080,中材科技,2026-06-17,9.9973,4.9206,38616.636478,5.764864661295297,4039.362646912792,138294164557.44,0.5713585924960374,-0.3647416413373849,False
002080,中材科技,2026-06-17,9.9973,4.9206,74609.70272,5.174950225122784,3682.116431715364,138294164557.44,0.5702714094066813,-0.3647416413373849,False
002080,中材科技,2026-06-16,9.9985,3.2601,2433.71710599999,0.6037045928947574,4181.56594634665,125725018913.28,0.5072186424971034,7.854707579333842,True
002080,中材科技,2026-06-01,-9.993,3.6508,40225.56559,9.947375827853488,4220.911425251947,107467034319.36,0.6178344535772832,1.5970904490828497,True
002080,中材科技,2026-04-13,10.0044,3.8128,35535.600864,11.415831012464688,4174.241282084799,84141116501.76,0.6367413889256914,0.3383757961783251,True
002080,中材科技,2025-12-24,6.4627,6.3471,15542.03089,1.3648942609862962,3727.003727089996,67729067850.24,0.5183108786699817,-3.4353995519044167,False
002080,中材科技,2025-08-29,-2.5806,7.7426,-25307.964334,-5.384256554317896,4017.008684058333,60815198684.16,0.4329817660628225,1.58311345646438,True
002080,中材科技,2025-07-21,10.0193,4.5822,-3593.164768,-1.7151413218276994,5183.894609892346,47725834728.96,0.4834570197612166,-1.322659241211277,False
002080,中材科技,2025-07-01,10.0,4.4414,14823.44438,9.568575724330248,3196.363447456638,35995750876.8,0.6496790944087414,-7.088036117381491,False
002080,中材科技,2025-02-25,3.6835,7.119,34416.268079,10.095589702334305,2828.909489204491,25507478476.8,0.6784360676942912,0.4000000000000003,True
002085,万丰奥威,2025-04-23,9.9934,4.622,19865.636026,12.74194559700805,3478.048898121734,35522767509.6,0.6831766310687745,-2.4955436720142443,False
002085,万丰奥威,2025-02-24,10.0154,14.4427,64564.054722,9.98469222312675,2316.010729632349,45481032878.4,0.7155579871754685,-2.0427553444180457,False
002126,银轮股份,2026-06-22,-6.8272,5.5676,-22779.868354,-10.341381116017512,3651.865932530835,39019811494.53,0.3584096280219866,-4.997060552616118,False
002126,银轮股份,2026-05-20,10.0076,4.7022,9649.823812,4.618828786135264,4643.038006598789,46183627021.9,0.5497392954738997,2.12292415682247,True
002126,银轮股份,2026-03-12,-7.8295,5.9614,-1273.682434,-0.555743547603528,4461.417290703713,37718811177.12,0.4937716703976387,-3.253242611099305,False
002126,银轮股份,2026-02-05,2.754,9.2575,55685.934347,7.753590377141112,3311.8693261837907,35212683268.8,0.6170576132916971,0.9301270417422902,True
